Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B6_8_GR_BB_novel_RA,2024-07-18 09:38:02,,/Volumes/My_Passport/RR_NEO/17_7/cut/B6_8_GR_BB_novel.mov,773.600,30.0,No focal subject,Zone of Interest,,,STATE,286.100,287.433,1.333,,
B6_7_A_novel_RA,2024-07-16 11:20:08,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_A_novel.mov,681.680,25.0,red,Zone of Interest,,,STATE,293.320,428.920,135.600,,
B4_3_B_control_RA,2024-07-14 11:24:14,,/Volumes/My_Passport/RR_NEO/1_7/B4_B5/cut/B4_3_B_control.mov,641.720,25.0,black,Zone of Interest,,,STATE,293.360,331.040,37.680,,
B6_7_A_novel_RA,2024-07-16 11:20:08,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_A_novel.mov,681.680,25.0,redblue,Zone of Interest,,,STATE,297.160,359.880,62.720,,
B6_7_A_novel_RA,2024-07-16 11:20:08,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_A_novel.mov,681.680,25.0,blue,Zone of Interest,,,STATE,305.560,334.280,28.720,,
B6_7_B_novel_RA,2024-07-17 08:39:26,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_B_novel.mov,713.800,25.0,red,Zone of Interest,,,STATE,324.040,327.840,3.800,,
B6_7_B_novel_RA,2024-07-17 08:39:26,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_B_novel.mov,713.800,25.0,redblack,Zone of Interest,,,STATE,328.680,354.520,25.840,,
B2_3_A_novel_RA,2024-07-08 11:17:38,,/Users/reinoud/Desktop/test/B2_3_A_novel.mp4,710.510,30.0,black,Zone of Interest,,,STATE,330.467,364.667,34.200,,
B7_8_B_control_RA,2024-07-20 09:43:19,,/Volumes/My_Passport/RR_NEO/17_7/cut/B7_8_B_control.mov,661.930,30.0,redblue,Zone of Interest,,,STATE,335.000,479.433,144.433,,
B6_4_GG_BG_novel_RA,2024-07-16 07:52:56,,/Volumes/My_Passport/RR_NEO/13_7/cut/B6_4_GG_BG_novel.mov,660.270,30.0,No focal subject,Zone of Interest,,,STATE,342.533,382.533,40.000,,
B6_7_A_novel_RA,2024-07-16 11:20:08,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_A_novel.mov,681.680,25.0,blue,Zone of Interest,,,STATE,343.600,387.720,44.120,,
B7_8_B_control_RA,2024-07-20 09:43:19,,/Volumes/My_Passport/RR_NEO/17_7/cut/B7_8_B_control.mov,661.930,30.0,red,Zone of Interest,,,STATE,343.633,494.600,150.967,,
B6_7_B_novel_RA,2024-07-17 08:39:26,,/Volumes/My_Passport/RR_NEO/16_7/cut/B6_7_B_novel.mov,713.800,25.0,red,Zone of Interest,,,STATE,344.640,368.400,23.760,,
B2_3_A_novel_RA,2024-07-08 11:17:38,,/Users/reinoud/Desktop/test/B2_3_A_novel.mp4,710.510,30.0,redblue,Zone of Interest,,,STATE,345.533,419.333,73.800,,
B7_2_B_novel_RA,2024-07-14 15:15:28,,/Volumes/My_Passport/RR_NEO/11_7/B6_B7/cut/B7_2_B_novel.mov,692.380,24.0,black,Zone of Interest,,,STATE,346.583,453.000,106.417,,
