Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B3_1_PY_BP_control_SK,2024-07-12 14:12:08,,/Volumes/T7/26_06/EXTRA_DAY/B3_1_PY_BY_control.mov,673.470,30.0,No focal subject,Eating,,,POINT,36.233,36.233,NA,,
B3_3_PY_BP_novel_SK,2024-06-28 20:20:38,,/Volumes/T7/28_6/cut/B3_3_PY_BP_novel.mp4,722.300,30.0,No focal subject,Trial start,,,POINT,36.233,36.233,NA,,
B4_1_A_novel_SK,2024-07-12 14:50:32,,/Volumes/T7/29_06/B4_B5/cut/B4_1_A_novel.mp4,747.970,25.0,red,Eating,,,POINT,36.320,36.320,NA,,
B5_8_B_novel_SK,2024-07-11 15:49:22,,/Volumes/T7/6_7/cut/B5_8_B_novel.mp4,775.300,25.0,black,Zone of Interest,,,STATE,36.560,68.760,32.200,,
B4_6_BB_BP_novel_SK,2024-07-11 11:02:04,,/Volumes/T7/4_7/cut/B4_6_BB_BP_novel.mp4,655.250,25.0,No focal subject,Zone of Interest,,,STATE,36.640,76.160,39.520,,
B4_4_BB_GY_control_SK,2024-07-12 18:47:33,,/Volumes/T7/2_7/cut/B4_4_BB_GY_control.mov,707.230,30.0,No focal subject,Zone of Interest,,,STATE,36.667,179.900,143.233,,
B8_5_A_novel_SK,2024-07-17 10:01:17,,/Volumes/T7/17_7/cut/B8_5_A_novel.mp4,663.940,30.0,black,Zone of Interest,,,STATE,36.800,75.400,38.600,,
B5_2_B_control_SK,2024-07-12 17:12:59,,/Volumes/T7/30_6/cut/B5_2_B_control.mov,648.900,30.0,black,Zone of Interest,,,STATE,36.867,68.100,31.233,,
B4_7_B_control_SK,2024-07-11 12:56:52,,/Volumes/T7/5_7/cut/B4_7_B_control.mp4,673.430,25.0,redblue,Zone of Interest,,,STATE,36.880,98.920,62.040,,
B4_4_BB_GY_control_SK,2024-07-12 18:47:33,,/Volumes/T7/2_7/cut/B4_4_BB_GY_control.mov,707.230,30.0,No focal subject,Eating,,,POINT,37.067,37.067,NA,,
