Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B2_7_A_novel_SB,2024-08-01 13:39:14.835,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B2_7_A_novel.mov,921.367,30.0,redblue,Zone of Interest,,,STATE,590.199,713.533,123.334,,
B9_5_PP_GP_novel_SB,2024-08-03 19:13:23.127,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B9_5_PP_GP_novel (1).mp4,719.536,30.0,No focal subject,Zone of Interest,,,STATE,603.103,613.570,10.467,,
B8_2_PR_BP_novel_SB,2024-08-03 17:02:01.318,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B8_2_PR_BP_novel.mp4,653.164,30.0,No focal subject,Trial end,,,POINT,609.697,609.697,NA,,
B6_3_B_novel_SB,2024-08-02 13:09:00.698,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B6_3_B_novel (1).mov,702.033,30.0,No focal subject,Trial end,,,POINT,609.766,609.766,NA,,
B7_3_BG_RR_novel_SB,2024-08-02 14:29:09.949,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_3_BG_RR_novel (1).mov,711.100,30.0,No focal subject,Trial end,,,POINT,609.999,609.999,NA,,
B8_8_BB_BB_control_SB,2024-08-03 18:06:46.493,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B8_8_BB_BB_control.mp4,635.934,30.0,No focal subject,Trial end,,,POINT,610.533,610.533,NA,,
B4_2_PP_GY_novel_SB,2024-08-01 17:21:25.220,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B4_2_PP_GY_novel (1).mov,816.200,30.0,No focal subject,Trial end,,,POINT,610.866,610.866,NA,,
B8_6_PY_GP_novel_SB,2024-08-03 18:01:26.563,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B8_6_PY_GP_novel.mp4,637.334,30.0,No focal subject,Trial end,,,POINT,610.933,610.933,NA,,
B5_3_PR_GG_control_SB,2024-08-01 23:47:06.394,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_3_PR_GG_control (1).mov,688.760,25.0,No focal subject,Trial end,,,POINT,611.080,611.080,NA,,
B4_8_GY_PP_control_SB,2024-08-01 18:04:34.713,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B4_8_GY_PP_control (1).mp4,802.080,25.0,No focal subject,Trial end,,,POINT,611.200,611.200,NA,,
